Ln,Part,Description,Due Date,Qty, Unit Price ,Order Date,Total_Value,PO_Number
1,M174430,M174430-R1 [FLANGE L32] M174430-R1 [FLANGE L32],2022-12-27,2,245,2022-11-22,490,113771
1,6S331401,6S331401 [ARM SHAFT FOR DTO650~800L],2022-06-02,2,960,2022-04-28,4470,105885
2,6S331301,6S331301 [GUIDE SHAFT],2022-06-02,2,725,2022-04-28,4470,105885
3,6S331801,6S331801 [SPROCKET FOR DTO650~800L],2022-06-07,2,275,2022-04-28,4470,105885
4,6S331803,6S331803 [SPROCKET FOR DTO650~800L],2022-06-07,2,275,2022-04-28,4470,105885
1,Y020020,Y020020 [SHAFT],2023-03-30,1,340,2023-03-01,340,117259
1,TKH0047,TKH0047[SHOE LINER EC720SX 150 X 75MM,2024-09-27,2,525,2024-08-21,2790,141779
2,TMV0042,TMV0042 [CLAMP WEAR STRIP EC720SX 1450 X 155MM],2024-09-27,2,475,2024-08-21,2790,141779
3,TMV0198,TMV0198 [CLAMP WEAR STRIP EC720SX 978 X 115MM],2024-09-27,2,395,2024-08-21,2790,141779
1,TKL0034,TKL0034 [EJECTOR GUIDE BAR EC160N] TKL0034 [EJECTOR GUIDE BAR EC160N],2022-12-05,1,595,2022-10-20,595,112447
1,L771420,L771420 [NUT FOR CLAMP CYLINDER ISGS 610],2025-06-27,3,295,2025-05-22,885,154360
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],2024-12-13,3,390,2024-11-05,8451,145286
2,8X20BS,8X20BS [BRASS SCREWS],2024-12-13,12,3,2024-11-05,8451,145286
3,9X457902,9X457902 [LINK PIN BUSHING],2024-12-13,2,595,2024-11-05,8451,145286
4,9X457904,9X457904 [TIE BAR BUSHING],2024-12-13,4,695,2024-11-05,8451,145286
5,9X457903,9X457903 [LINK PIN BUSHING DC500J-MS],2024-12-13,2,550,2024-11-05,8451,145286
6,9X457905,9X457905 [BUSHING],2024-12-13,3,725,2024-11-05,8451,145286
1,TMV0198,TMV0198 [CLAMP WEAR STRIP EC720SX 978 X 115MM],2024-10-17,2,395,2024-10-14,790,144198
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J] ,2017-12-08,2,250,2017-11-15,500,33304
1,9W306305,9W306305 [LINK PIN],2019-12-27,6,1250,2019-12-03,7500,71137
1,415R6702,415R6702 [SPROCKET] ,2017-10-19,5,100,2017-10-12,500,31507
1,647W6503,647W6503 [SLIDE PLATE ],2023-01-30,4,425,2022-12-21,1700,114787
1,Y193537,Y193537 [DOG FOR SAFETY HOOK SHAFT N127433],2024-05-15,3,220,2024-04-09,660,135749
1,L698749,L698749 [PACKING RETAINER FOR INJECTION IS I59 I81],2024-11-01,1,1435,2024-09-27,1435,143436
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT],2022-11-07,2,2225,2022-09-28,4450,111416
1,H3253O5,H325305 [EJECTOR PLATE],2018-02-23,1,3805,2018-01-24,3805,36917
1,Y065295,Y065295[PLATE],2018-09-24,6,15.25,2018-08-20,711.5,48205
2,622V9601,622V9601[SPACER PLATE],2018-09-24,4,155,2018-08-20,711.5,48205
1,H39575G01,H39575G01 [INJECTION COUPLING DC800JMS ],2022-05-20,2,2780,2022-04-15,5560,105339
1,N072802,N072802 [EJECTOR ROD],2022-04-15,4,835,2022-03-11,6480,104027
2,Y058255,Y058255 [NUT FOR GUIDE BAR],2022-04-15,4,785,2022-03-11,6480,104027
1,695R1601,695R1601 [LOCK NUT],2025-03-28,3,50,2025-03-05,150,150476
1,TMH0577,TMH0577 [IDLER] TMH0577 [IDLER],2023-01-17,1,275,2022-12-13,275,114546
1,S978456,S978456 [PUMP FLANGE F/IPS NEW TYPE PUMP ISGSW GT IS- DG],2025-06-27,2,525,2025-05-19,1050,154162
1,236W0801,236W0801 [COUPLING DC3500CS],2022-01-11,1,3820,2021-11-30,3820,100255
1,640R4801,640R4801 [SPRING HOLDER],2019-08-02,1,85,2019-07-19,85,64738
1,N069896,N069896 [DOOR RAIL DC2500CS-2],2017-11-29,1,975,2017-10-04,975,31077
