Ln,Part,Description,Due Date,Qty, Unit Price ,Order Date,Total_Value,PO_Number
1,609T2102,609T2102 [TIE BAR BUSHING DC350CL-3],2017-12-22,8,720,2017-11-15,7645,33315
2,N048865,N048865 [INJECTION BUSHING],2017-12-22,1,1885,2017-11-15,7645,33315
1,647W9601,647W9601 [COVER] ,2017-12-11,2,425,2017-11-01,850,32584
1,611T2501,611T2501 [SEAL CAP],2022-11-25,1,575,2022-10-13,575,112126
1,TKF2027,TKF2027 [CLAMP WEAR STRIP EC45N],2024-12-20,1,180,2024-11-13,180,145718
1,H319551,H319551 [SEAT C2G16],2017-06-07,1,2200,2017-06-07,2200,24480
1,637R4907,637R4907 [P SQUARE KEY],2021-04-05,2,45,2021-02-22,935,89306
2,637R4902,637R4902 [P SQUARE KEY],2021-04-05,2,45,2021-02-22,935,89306
3,674W6201,674W6201 [PACKING GLAND],2021-04-05,1,755,2021-02-22,935,89306
1,478R7201,478R7201[BUSHING],2025-06-13,3,675,2025-05-07,2025,153608
1,N020124,N020124 [LINER FOR DC2500CS2],2018-12-25,2,3450,2018-11-20,6900,53152
1,Y122303,Y122303 [SENSOR HOLDER DHS-T 06 AND NEWER],2021-03-02,20,50,2021-01-26,1000,88030
1,647S0601,647S0601 [SPACER],2019-10-15,4,22,2019-09-17,156,67591
2,647S0602,647S0602[SPACER],2019-10-15,1,28,2019-09-17,156,67591
3,647S0603,647S0603[SPACER],2019-10-15,2,20,2019-09-17,156,67591
1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T],2019-10-15,6,47.5,2019-09-17,285,67585
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],2024-05-09,8,390,2024-05-01,3120,136906
1,Y069318,Y069318 [PLUNGER ROD],2019-07-22,2,565,2019-06-17,1130,63085
1,Y006291,Y006291 [SPROCKET] ,2020-05-04,2,375,2020-04-06,750,76305
1,478R0901,478R0901[SHAFT],2021-10-07,2,170,2021-09-16,1440,97689
2,Y006968,Y006968 [LINK],2021-10-07,1,1100,2021-09-16,1440,97689
1,609T2102,609T2102 [TIE BAR BUSHING DC350CL-3],2024-07-23,8,625,2024-06-24,5000,139360
1,607F4001,607F4001 [EJECTOR PIN/ STOPPER ECSX 248MM OAL HEX M16],2024-04-23,2,175,2024-03-18,350,134678
1,10X25BS,10X25BS [BRASS BOLTS FOR LINER 9S562501],2018-09-21,52,5,2018-09-20,260,49877
1,N054086,N054086 [SEAT C2G31 DC2250CS2],2017-07-18,1,1700,2017-06-27,3275,25761
2,N054087,N054087 [POPPET C2G31 DC2250CS2],2017-07-18,1,1575,2017-06-27,3275,25761
1,Y006969,Y006969 [SHAFT FOR NUT CLAMP],2020-02-20,1,645,2020-02-13,645,74248
1,Y157511,Y157511 [EJECTOR ROD] ,2018-03-07,4,875,2018-02-13,3500,38042
1,N02912G01,N02912G01 [COOLING PIPE ASSEMBLY],2018-05-09,2,500,2018-04-18,1000,41581
1,N073196,N073196 [BUSHING FOR DIECLAMP DQC],2020-02-28,24,2100,2020-01-24,95530,73255
2,6T157701,6T157701 [BUSHING],2020-02-28,6,855,2020-01-24,95530,73255
3,469R8905,469R8905[BUSHING],2020-02-28,8,2425,2020-01-24,95530,73255
4,469R8909,469R8909 [TIE BAR BUSHING DC2500CS2],2020-02-28,8,2575,2020-01-24,95530,73255
1,S486144,S486144 [SPLIT COLLAR ISGS610 FOR TIE BAR],2025-03-28,1,415,2025-02-21,415,149876
1,609T6501,609T6501 [GLAND PACKING],2023-04-28,1,445,2023-03-23,445,118387
1,H323583,H323583 [INJECTION BUSHING],2017-09-16,1,1575,2017-08-16,1575,28536
1,H233902,H233902 [EJECTOR PACKING RETAINER ISGT 720 950],2023-06-14,1,1375,2023-05-03,8160,120156
2,L698749,L698749 [PACKING RETAINER FOR INJECTION IS I59 I81],2023-06-14,1,1435,2023-05-03,8160,120156
3,M168007,M168007 [FLANGE],2023-06-14,1,1550,2023-05-03,8160,120156
4,S486145,S486145 [TIE BAR NUT ISGS610],2023-06-14,4,875,2023-05-03,8160,120156
5,S776608,S776608 [LID],2023-06-14,1,300,2023-05-03,8160,120156
1,643V8201,643V8201 [SPACER DC3500CS FOR PLUNGER],2024-01-10,1,560,2023-12-19,560,130345
1,H323582,H323582 [INJECTION BUSHING DC650JMS],2019-08-14,1,1235,2019-07-03,3485,64066
2,N069221,N069221 [EJECTOR ROD DC2500CS2],2019-08-14,1,2250,2019-07-03,3485,64066
1,Y052727,Y052727 [SPROCKET],2021-11-09,5,475,2021-09-30,2375,98236
1,8X20BS,8X20BS [BRASS SCREWS],2024-05-30,36,3,2024-05-01,108,136907
1,4T123801,4T123801 [LEFT SCREW NUT],2021-08-31,3,7.5,2021-07-27,187.5,95712
2,637R3801,637R3801 [LEFT TURN BUCKLE],2021-09-06,3,55,2021-07-27,187.5,95712
1,H323582,H323582 [INJECTION BUSHING DC650JMS],2022-04-08,2,1235,2022-03-04,2470,103764
1,6K887301,6K887301 [TAPER SPACER],2023-12-07,2,75,2023-11-01,3750,128293
2,L500196,L500196 [SHUT OFF NOZZLE PIN],2023-12-07,2,1100,2023-11-01,3750,128293
3,S453027,S453027 [THICK WASHER],2023-12-07,4,45,2023-11-01,3750,128293
4,S453060,S453060 [BRACKET],2023-12-07,2,75,2023-11-01,3750,128293
5,S453083,S453083 [M12 SHOULDER SCREW],2023-12-07,4,90,2023-11-01,3750,128293
6,S543821,S543821 [SHAFT FOR SHUT OFF NOZZLE 65MM OAL],2023-12-07,2,160,2023-11-01,3750,128293
7,S543823,S543823 [LINK],2023-12-07,2,195,2023-11-01,3750,128293
1,N073034,N073034 [SLIDE PIECE DP50LU],2018-12-25,4,595,2018-11-20,4470,53153
2,Y004671,Y004671 [GIB SUPPORT DP50LU],2018-12-25,4,375,2018-11-20,4470,53153
3,Y050301,Y050301 [GIB SUPPORT DP50LU],2018-12-25,2,295,2018-11-20,4470,53153
1,S606079,S606079 [BOOSTER CYLINDER FLANGE ISGN 250] S606079 [BOOSTER CYLINDER FLANGE ISGN 250],2023-06-08,1,395,2023-05-18,395,120817
1,4V359601,4V359601 [SCREWED BUSHING DC500CLT],2022-05-24,1,550,2022-04-19,945,105467
2,447T9101,447T9101 [BUSHING DC500CLT],2022-05-24,1,395,2022-04-19,945,105467
1,4T122501,4T122501 [RIGHT SCREW BOLT],2021-08-31,8,45,2021-07-27,720,95706
2,4T122502,4T122502 [LEFT SCREW BOLT],2021-08-31,8,45,2021-07-27,720,95706
1,H39575G01,H39575G01[COUPLING] OF PO,2017-09-25,1,2780,2017-08-28,2780,29199
1,393T2401,393T2401 [ INJECTION COUPLING DC650REM],2024-03-22,1,2755,2024-02-06,2755,132585
1,8X20BS,8X20BS [BRASS SCREWS],2019-07-08,12,2.5,2019-07-01,30,63906
1,Y072160,Y072160 [RETAINER],2022-06-08,1,295,2022-05-04,545,106146
2,Y028068,Y028068 [STOPPER DBS350MSH2],2022-06-08,1,250,2022-05-04,545,106146
1,N066877,N066877 [INJECTION BUSHING],2020-11-03,1,2185,2020-09-29,2185,83158
1,Y006291,Y006291 [SPROCKET],2018-11-28,2,365,2018-11-01,730,52098
1,N048865,N048865 [INJECTION BUSHING],2023-03-24,1,925,2023-02-17,925,116816
1,684V2201,684V2201 [LOCK PLATE],2024-07-19,1,150,2024-06-06,170,138533
2,6S572818,6S572818 [LOCK PLATE],2024-07-19,2,10,2024-06-06,170,138533
1,Y101024,Y101024 [RETAINER BOLT FOR LOAD SENSOR DC350JMS],2018-12-13,4,59,2018-11-15,236,52932
1,611V6701,611V6701 [ELECTRODE PROBE Y102648],2025-01-24,1,85,2025-01-07,85,147495
1,N024126,N024126 [SHAFT],2019-09-05,1,1125,2019-08-08,1125,65608
1,9X818901,9X818901 [BUSHING] ,2017-10-30,2,775,2017-08-31,1550,29416
1,Y006635,Y006635 [RING],2017-09-27,4,395,2017-08-31,17140,29370
2,609T1804,609T1804 [SPECIAL KEY],2017-09-27,6,155,2017-08-31,17140,29370
3,9X818902,9X818902 [BUSHING],2017-09-27,2,795,2017-08-31,17140,29370
4,625W1701,625W1701 [LINK PIN BUSHING],2017-09-27,16,495,2017-08-31,17140,29370
5,625W1702,625W1702 [LINK PIN BUSHING],2017-09-27,2,395,2017-08-31,17140,29370
6,625W1703,625W1703 [LINK PIN BUSHING],2017-09-27,8,435,2017-08-31,17140,29370
7,609T6501,609T6501 [GLAND PACKING],2017-09-27,2,425,2017-08-31,17140,29370
1,9W4210G04,9W4210G04 [COOLING PIPE ASSY],2021-05-26,3,405,2021-04-21,1215,91945
1,N013391,N013391 [SHAFT FOR POUR ASS'Y],2020-07-08,1,500,2020-06-10,500,78895
1,N013708,N013708 [FLANGE],2020-02-25,1,1150,2020-01-21,1150,73095
1,H39575G01,H39575G01 [INJECTION COUPLING DC800JMS/RM ],2025-09-12,1,2425,2025-08-07,2425,157889
1,Y074206,Y074206 [POPPET DC1650CS-2],2025-09-22,1,1075,2025-08-13,1075,158204
1,Y132910,Y132910 [DOOR ROLLER],2023-11-02,1,300,2023-10-04,300,126902
1,4T123401,4T123401 [LADLE PIN],2019-04-02,3,63,2019-02-26,2587,57889
2,N033940,N033940 [CYLINDER],2019-04-02,1,1250,2019-02-26,2587,57889
3,Y047672,Y047672 [TIP DC800JM-S],2019-04-02,1,73,2019-02-26,2587,57889
4,Y047350,Y047350 [PISTON ROD],2019-04-02,1,1075,2019-02-26,2587,57889
1,Y069318,Y069318 [PLUNGER ROD],2020-01-17,3,675,2019-12-13,2025,71696
1,Y064576,Y064579 [FITTING],2025-04-04,1,480,2025-02-26,480,150102
1,H323581,H323581 [INJECTION BUSHING],2020-08-11,1,1875,2020-07-15,1875,80121
1,Y012556,Y012556 [GUIDE],2019-11-13,1,1525,2019-10-02,5920,68489
2,6R893601,6R893601[POPPET],2019-11-13,1,2150,2019-10-02,5920,68489
3,N066875,N066875[ BUSHING],2019-11-13,1,2245,2019-10-02,5920,68489
1,021125A,[NOZZLE BODY 12 INCH OAL 7/8,2025-06-27,3,990,2025-05-23,4055,154416
3,324N9802,324N9802 [KEY F/SX I17 INJ. BALL SCREW 18(W) X11(H) X47(N)],2025-06-27,2,95,2025-05-23,4055,154416
4,LMR0050,LMR0050 [ADAPTOR F/ PULLEY 1L EC390SX I17],2025-06-27,1,895,2025-05-23,4055,154416
1,N037295,N037295 [BOOSTING PISTON] ,2019-06-14,1,3705,2019-05-13,3705,61526
1,647W6502,647W6502 [SLIDE PLATE DC650CL* 1995~],2017-12-20,2,420,2017-11-20,2790,33506
2,Y028062,Y028062 [LINER DC650CL-T],2017-12-20,2,975,2017-11-20,2790,33506
1,636E1305,636E1305 [WASHER FOR END CAP I150 I200 I315 M42],2025-07-25,12,45,2025-07-25,540,157080
1,S486144,S486144 [SPLIT COLLAR ISGS610 FOR TIE BAR],2024-04-08,8,415,2024-02-23,3320,133506
1,8X20BS,8X20BS [BRASS SCREWS],2024-02-27,24,3,2024-02-20,72,133260
1,623T9801,623T9801 [PLUNGER ROD DC350CL-3],2020-08-10,2,725,2020-07-13,1450,80096
1,648T5201,648T5201 [KEEP PLATE FOR DHS- T],2019-09-25,5,70,2019-08-28,350,66513
1,Y006291,Y006291 [SPROCKET],2024-08-09,1,425,2024-07-02,425,139765
1,6S331401,6S331401 [ARM SHAFT FOR DTO650~800L],2020-10-01,1,980,2020-09-03,1705,82118
2,6S331301,6S331301 [GUIDE SHAFT],2020-10-01,1,725,2020-09-03,1705,82118
1,S438101,S438101 [SPLIT COLLAR IS EC SX I59 I61],2024-12-04,2,410,2024-10-30,820,144995
1,Y012556,Y012556 [GUIDE],2024-11-15,1,1525,2024-10-09,2205,144003
2,Y033453,Y033453 [ADJUSTING SHAFT],2024-11-15,1,680,2024-10-09,2205,144003
1,4T448201,4T448201 [LADLE PIN],2022-07-21,10,140,2022-06-16,4688,107890
2,647W6501,647W6501 [SLIDE PLATE (DC500CL-HT)],2022-07-21,4,330,2022-06-16,4688,107890
3,685R1002,685R1002 [ELECTRODE],2022-07-21,12,52.5,2022-06-16,4688,107890
4,685R1001,685R1001 [ELECTRODE ROD ],2022-07-21,19,52,2022-06-16,4688,107890
5,6S331501,6S331501 [BEARING STOPPER],2022-07-21,2,175,2022-06-16,4688,107890
1,N072875,N072875 [LADLE ARM(SPECIAL FOR AHRESTY)],2018-05-30,1,2675,2018-05-02,2675,42466
1,N054089,N054089 [SEAT DC1650CS-2],2021-03-30,1,2100,2021-02-16,3270,89071
2,Y074206,Y074206 [POPPET DC1650CS-2],2021-03-30,1,1075,2021-02-16,3270,89071
3,648T7301,648T7301 [SPRING GUIDE FOR DHS-T],2021-03-30,2,47.5,2021-02-16,3270,89071
1,9W705104,9W705104 [PLUNGER SLEEVE],2024-07-05,2,2735,2024-05-23,5470,137947
1,Y080798,Y080798 [DOOR ROLLER],2024-09-30,4,290,2024-08-15,1435,141609
2,Y115058,Y115058 [GUIDE RAIL ],2024-09-30,1,275,2024-08-15,1435,141609
1,611V6701,611V6701 [ELECTRODE PROBE Y102648],2023-05-29,2,85,2023-05-12,170,120585
1,Y157511,Y157511 [EJECTOR ROD],2019-04-16,1,875,2019-03-19,875,59052
1,N040211,N040211 [LINK],2019-07-23,2,1825,2019-06-18,3650,63133
1,L708400,L708400 [TIE BAR NUT ISGT720],2024-11-15,1,1650,2024-10-01,1650,143585
1,637R4909,637R4909 [P-SQ KEY],2025-05-23,1,50,2025-04-15,100,152488
2,637R4912,637R4912 [P-SQ KEY],2025-05-23,1,50,2025-04-15,100,152488
1,674W1401,674W1401 [PLUNGER ROD],2019-07-23,1,1265,2019-06-18,1660,63127
2,9X5163G01,9X5163G01 [COOLING PIPE ASSEMBLY],2019-07-23,1,395,2019-06-18,1660,63127
1,414R8309,414R8309 [TIE BAR BUSHING DC1250CS],2024-07-26,8,2375,2024-06-10,19000,138679
1,L804192,L804192 [SAFETY DROP BAR FLAG ISG250N],2023-10-16,1,825,2023-09-08,2820,125628
2,L804193,L804193 [SAFETY ROD FOR ISG250N],2023-10-16,1,1995,2023-09-08,2820,125628
1,N064799,N064799 [SHAFT],2021-06-25,2,775,2021-05-11,1550,92684
1,647W6503,647W6503 [SLIDE PLATE ],2025-09-22,3,425,2025-08-13,2085,158199
2,Y069318,Y069318 [PLUNGER ROD],2025-09-22,1,810,2025-08-13,2085,158199
1,637S3802,637S3802 [GUIDE SHAFT],2018-04-09,2,580,2018-02-26,2413,38686
2,637S4001,637S4001 [BUSHING],2018-04-09,4,157,2018-02-26,2413,38686
3,637S4101,637S4101 [ADJUSTING SHAFT],2018-04-09,1,440,2018-02-26,2413,38686
4,637S4301,637S4301 [NUT HOLDER],2018-04-09,1,185,2018-02-26,2413,38686
1,695R1601,695R1601 [LOCK NUT],2024-05-01,4,50,2024-03-22,200,134916
1,N054195,N054195 [VALVE BODY C2G32 DC1650CS2],2019-06-05,1,1735,2019-05-01,1735,61095
1,6W261902,6W261902 [BUSHING],2021-01-12,1,1500,2020-12-08,2950,86168
2,6W261903,6W261903 [BUSHING],2021-01-12,1,1450,2020-12-08,2950,86168
1,H40705G01,H40705G01[COUPLING],2020-03-18,2,2225,2020-01-29,4450,73491
1,Y088118,Y088118 [ROLLER],2020-11-12,3,305,2020-11-05,1655,84757
2,Y079961,Y079961 [ROLLER PIN],2020-11-12,2,245,2020-11-05,1655,84757
3,Y079962,Y079962 [ECCENTRIC PIN],2020-11-12,1,250,2020-11-05,1655,84757
1,N041420,N041420 [DIE CARRIER BUSHING DQC1650C],2023-05-17,1,1550,2023-04-11,6165,119106
2,Y033453,Y033453 [ADJUSTING SHAFT],2023-05-17,1,635,2023-04-11,6165,119106
3,609T6601,609T6601 [SCREWED BUSHING],2023-05-17,2,525,2023-04-11,6165,119106
4,396W7701,396W7701 [ARM SHAFT FOR DTO650~800L],2023-05-17,1,1380,2023-04-11,6165,119106
5,N02477G03,N02477G03 [GUIDE SHAFT],2023-05-17,1,1550,2023-04-11,6165,119106
1,Y003999,Y003999 [SPROCKET],2023-11-06,3,135,2023-09-27,405,126490
1,Y033452,Y033452 [SHAFT],2019-02-13,1,695,2019-01-09,695,55357
1,H323583,H323583 [INJECTION BUSHING],2021-05-26,1,1575,2021-04-13,2450,91467
2,N048865,N048865 [INJECTION BUSHING],2021-05-26,1,875,2021-04-13,2450,91467
1,N114122,N114122 [PACKING GLAND],2023-06-23,1,880,2023-05-19,880,120910
1,388W45-11,388W45-11 [EJECTOR ROD WIRE TYPE FOR DC3500CS],2021-12-21,2,1475,2021-11-16,4080,99775
2,Y069318,Y069318 [PLUNGER ROD],2021-12-21,1,725,2021-11-16,4080,99775
3,9W4210G04,9W4210G04 [COOLING PIPE ASSY],2021-12-21,1,405,2021-11-16,4080,99775
1,9W331104,9W331104 [GUIDE SHAFT DBS500~800MS],2018-06-19,4,2200,2018-05-22,8800,43509
1,N061985,N061985 [EJECTOR PISTON ROD],2024-09-06,1,1525,2024-07-29,1935,140772
2,Y092206,Y092206 [NUT FOR EJECTOR PISTON],2024-09-06,1,410,2024-07-29,1935,140772
1,N013391,N013391 [SHAFT FOR POUR ASS'Y] N013391 [SHAFT FOR POUR ASS'Y] ,2019-01-11,3,475,2018-12-10,1425,54061
1,H323581,H323581 [INJECTION BUSHING],2024-09-20,1,1875,2024-08-13,1875,141478
1,8X20BS,8X20BS [BRASS SCREWS],2024-05-29,12,3,2024-04-30,36,136828
1,Y020056,Y020056 [SHAFT] RECEIPT OF PO,2023-09-27,1,535,2023-09-26,535,126385
1,668S3701,668S3701 [BUSHING],2022-07-27,1,35,2022-06-22,35,108093
1,N02477G03,N02477G03 [GUIDE SHAFT],2022-04-12,2,1550,2022-03-08,3100,103878
1,623T9801,623T9801 [PLUNGER ROD DC350CL-3] ,2018-03-09,2,950,2018-02-23,1900,38636
1,Y021407,Y021407 [BUSHING],2020-01-15,2,708,2019-12-11,1416,71578
1,647W5604,647W5604 [SLIDE PLATE DC250JMS],2024-03-15,2,300,2024-02-14,600,133039
1,Y027627,Y027627 [SLIDE PLATE FOR DC2500CS2],2024-12-20,3,1250,2024-11-15,3750,145811
1,N066877,N066877 [INJECTION BUSHING] N066877 [INJECTION BUSHING] ,2017-06-08,2,2145,2017-06-08,4290,24545
1,4T122501,4T122501 [RIGHT SCREW BOLT],2019-09-23,2,45,2019-08-20,90,66010
1,624T0004,624T0004 [SPACER],2021-10-19,1,185,2021-09-14,185,97566
1,Y160762,Y160762 [PLATE],2020-05-11,1,695,2020-05-04,845,77486
2,492V7801-10.39,492V7801-10.39 [SPACER],2020-05-11,1,75,2020-05-04,845,77486
3,492V7801-10.42,492V7801-10.42 [SPACER],2020-05-11,1,75,2020-05-04,845,77486
1,Y058254,Y058254 [SPACER],2018-09-11,7,85,2018-08-07,1570,47545
2,Y155816,Y155816 [SPACER],2018-09-11,1,95,2018-08-07,1570,47545
3,Y059901,Y059901 [SPACER],2018-09-11,2,110,2018-08-07,1570,47545
4,Y058256,Y058256 [SPACER],2018-09-11,2,255,2018-08-07,1570,47545
5,Y058257,Y058257 [BRACKET],2018-09-11,2,75,2018-08-07,1570,47545
1,L500198,L500198 [SHUT OFF NOZZLE BODY M80 X M80],2024-09-23,1,1100,2024-08-19,1540,141646
2,S536300,S536300 [FLANGE FOR EJE. PLATE ISG500 ISG610],2024-09-23,1,440,2024-08-19,1540,141646
1,Y157511,Y157511 [EJECTOR ROD],2019-07-11,4,875,2019-06-13,4150,62935
2,9X812901,9X812901 [FLANGE-A],2019-07-11,1,650,2019-06-13,4150,62935
1,Y049547,Y049547 [CASE],2018-12-06,1,275,2018-11-08,275,52606
1,Y006291,Y006291 [SPROCKET],2024-08-30,1,425,2024-07-24,875,140570
2,Y006299,Y006299 [CASE GUIDE],2024-08-30,1,450,2024-07-24,875,140570
1,611V6701,611V6701 [ELECTRODE PROBE Y102648],2024-12-31,4,85,2024-12-09,340,146673
1,N114335-2,N114335-2 [RAIL],2017-08-18,2,1550,2017-07-26,4475,27266
2,Y167639-2,Y167639-2 [SHAFT] ,2017-08-18,1,1375,2017-07-26,4475,27266
1,4T122502,4T122502 [LEFT SCREW BOLT],2018-07-18,5,42.5,2018-06-20,212.5,44925
1,611T1501,611T1501 [BUSHING],2019-08-16,2,1100,2019-07-12,2200,64439
1,647S0201,647S0201[SHAFT],2022-03-21,2,240,2022-02-15,1014,103042
3,647S0401,647S0401 [SHAFT SPACER],2022-03-21,2,25,2022-02-15,1014,103042
4,637R3301,637R3301 [SPROCKET],2022-03-21,2,110,2022-02-15,1014,103042
5,647S0601,647S0601 [SPACER],2022-03-21,2,28,2022-02-15,1014,103042
6,4T123801,4T123801 [LEFT SCREW NUT],2022-03-21,8,7.5,2022-02-15,1014,103042
7,647S0602,647S0602[SPACER],2022-03-21,2,30,2022-02-15,1014,103042
8,647S0603,647S0603[SPACER],2022-03-21,4,22,2022-02-15,1014,103042
1,6S331301,6S331301 [GUIDE SHAFT],2020-07-07,1,725,2020-06-10,725,78819
1,8x30BS,8x30BS [SCREWS],2019-09-23,6,5,2019-09-23,30,67911
1,9X972302,9X972302[SLEEVE FOR LOAD SENSOR],2023-05-18,2,350,2023-04-12,1200,119217
2,9X972202,9X972202 [ SLEEVE ],2023-05-18,2,250,2023-04-12,1200,119217
1,Y006291,Y006291 [SPROCKET],2021-06-10,1,375,2021-05-06,375,92556
1,N044000,N044000 [HOOK],2022-10-21,1,1455,2022-09-16,1455,111139
1,Y006291,Y006291 [SPROCKET],2024-06-21,1,395,2024-05-17,2535,137698
2,Y006298,Y006298 [BEACASE],2024-06-21,2,325,2024-05-17,2535,137698
3,Y006299,Y006299 [CASE GUIDE],2024-06-21,1,450,2024-05-17,2535,137698
4,Y006502,Y006502 [SPACER],2024-06-21,1,120,2024-05-17,2535,137698
5,Y090016,Y090016 [GUIDE],2024-06-21,2,460,2024-05-17,2535,137698
1,688V8001,688V8001 [FLANGE],2019-10-21,1,955,2019-09-23,955,67905
1,438S5702,438S5702[SPACER],2024-04-19,1,295,2024-03-12,1320,134391
2,Y006966,Y006966 [SPACER],2024-04-19,1,1025,2024-03-12,1320,134391
1,Y055692,Y055692 [PLATE],2024-11-15,1,215,2024-10-07,215,143858
1,4T123401,4T123401 [LADLE PIN],2022-11-10,1,60,2022-10-06,60,111878
1,685R1101,685R1101 [SUPPORT] ,2024-12-20,7,160,2024-11-12,1120,145597
1,4T122501,4T122501 [RIGHT SCREW BOLT],2018-03-19,4,45,2018-02-16,360,38226
2,4T122502,4T122502 [LEFT SCREW BOLT],2018-03-19,4,45,2018-02-16,360,38226
1,6S331301,6S331301 [GUIDE SHAFT] ,2017-11-13,1,725,2017-10-23,725,32045
1,Y040402,Y040402 [LINER BRONZE DC350J],2019-12-31,2,1100,2019-12-03,2200,71168
1,6S331802,6S331802 [SPROCKET],2017-08-02,4,285,2017-07-19,3390,26756
2,6S331801,6S331801 [SPROCKET FOR DTO650~800L],2017-08-02,5,275,2017-07-19,3390,26756
3,6S331501,6S331501 [BEARING STOPPER],2017-08-02,5,175,2017-07-19,3390,26756
1,S417800,S417800 [TIE BAR NUT FOR ISF ISGN 250],2025-07-30,1,775,2025-06-25,775,155960
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],2023-02-20,4,390,2023-01-09,1560,115175
1,611V6701,611V6701 [ELECTRODE PROBE],2018-04-23,5,81.75,2018-04-12,978.75,41256
2,685R1001,685R1001 [ELECTRODE ROD ],2018-04-23,10,57,2018-04-12,978.75,41256
1,388W45-12,388W45-12 [EJECTOR ROD SOLID TYPE FOR DC3500CS],2021-02-09,4,1475,2021-01-12,5900,87365
1,9X457904,9X457904 [TIE BAR BUSHING],2018-09-04,8,775,2018-08-21,6200,48266
1,4T123401,4T123401 [LADLE PIN],2025-03-07,1,65,2025-01-24,4985,148514
2,N072875,N072875 [LADLE ARM(SPECIAL FOR AHRESTY)],2025-03-07,1,2675,2025-01-24,4985,148514
3,Y142052,Y142052 [CYLINDER TUBE],2025-03-07,1,985,2025-01-24,4985,148514
4,Y152202,Y152202 [SLIDE PLATE DC350R- M],2025-03-07,4,315,2025-01-24,4985,148514
1,N069222,N069222 [EJECTOR ROD],2022-01-26,1,2250,2022-01-26,2250,102435
1,637R4101,637R4101 [BUSHING],2022-01-31,5,275,2021-12-20,1925,101128
2,637R3501,637R3501 [SPROCKET],2022-01-31,5,110,2021-12-20,1925,101128
1,L698601,L698601 [TIE BAR NUT ISGT 950],2025-04-30,3,2175,2025-02-18,6525,149636
1,S417800,S417800 [TIE BAR NUT FOR ISF ISGN 250],2025-05-23,1,775,2025-04-16,775,152570
1,6W516701,6W516701 [SHAFT],2019-06-14,2,395,2019-05-17,2875,61810
2,6W516801,6W516801 [SHAFT],2019-06-14,3,345,2019-05-17,2875,61810
3,416S1701,416S1701 [SHAFT],2019-06-14,3,225,2019-05-17,2875,61810
4,6W516901,6W516901 [BUSHING],2019-06-21,3,125,2019-05-17,2875,61810
1,N066875,N066875[ BUSHING],2022-05-09,2,2245,2022-04-04,4490,104905
1,N064799,N064799 [SHAFT],2017-08-16,2,775,2017-08-02,1550,27676
1,S190602,S190602 [EJECTOR GUIDE BAR ISG610],2023-07-10,2,395,2023-06-05,790,121575
1,N02912G01,N02912G01 [COOLING PIPE ASSEMBLY],2018-12-27,2,500,2018-12-06,1000,53849
1,699E1119,699E1119 [GUIDE PIN 667MM O.A.L. EC1450SXII],2023-09-27,4,250,2023-08-29,1000,125061
1,Y069318,Y069318 [PLUNGER ROD],2018-08-15,2,565,2018-07-18,1940,46288
2,9W4210G04,9W4210G04 [COOLING PIPE ASSY],2018-08-15,2,405,2018-07-18,1940,46288
1,640R4701,640R4701 [WEDGE] ,2018-05-14,1,500,2018-04-04,500,40809
1,611V6701,611V6701 [SAME AS Y102648 ELECTRODE PROBE],2020-12-02,2,81.75,2020-11-05,163.5,84693
1,TMN0026,TMN0026 [LINK PIN 1 FOR EC310 390 SX SXII III ],2023-11-22,1,1195,2023-10-27,1195,127886
1,S182901,S182901 [TIE BAR NUT FOR ISE250],2023-05-15,2,775,2023-04-27,2750,119968
2,S536628,S536628 [SPLIT COLLAR FOR GS GT I59 INJECTION CYLINDERS],2023-05-15,2,300,2023-04-27,2750,119968
3,S536628,S536628 [SPLIT COLLAR FOR GS GT I59 INJECTION CYLINDERS],2023-05-15,2,300,2023-04-27,2750,119968
1,4T123401,4T123401 [LADLE PIN] ,2018-03-02,2,$63.00 ,2018-02-08,$126.00 ,37755
1,Y157511,Y157511 [EJECTOR ROD] ,2017-11-24,2,875,2017-11-01,1750,32535
1,9T834801,9T834801 [EJECTOR PLATE C],2020-12-08,1,3800,2020-11-24,8050,85598
2,207X9301,207X9301 EJECTOR PLATE D],2020-12-08,1,4250,2020-11-24,8050,85598
1,S529900,S529900 [BRACKET FOR EJECTOR GS GT],2024-02-03,1,275,2023-12-20,1525,130451
2,S657138,S657138 [IDLER SHAFT FOR EC240 EJECTOR],2024-01-25,1,250,2023-12-20,1525,130451
3,TML0038,TML0038 [LINK PIN 2 FOR EC200SX],2024-01-25,1,345,2023-12-20,1525,130451
4,TML0026,TML0026 [LINK PIN 1 FOR EC200SX SXII],2024-01-25,1,655,2023-12-20,1525,130451
1,603S8303,603S8303 [JOINT FOR SPRAYER DC500JMS],2023-03-10,1,320,2023-01-27,320,115835
1,Y069318,Y069318 [PLUNGER ROD],2022-01-11,3,725,2021-12-07,2985,100586
2,9W4210G04,9W4210G04 [COOLING PIPE ASSY],2022-01-11,2,405,2021-12-07,2985,100586
1,N013391,N013391 [SHAFT FOR POUR ASS'Y],2020-12-02,5,500,2020-11-04,2500,84692
1,Y095821,Y095821 [SHAFT],2019-06-19,1,693,2019-05-15,693,61636
